name,icon,cover,restype,tags,devices,path,paid_type
?€??????????????????????RPG ?????????????€????????????? +,https://raw.githubusercontent.com/hrsthrt74/MLRPG-brothership-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MLRPG-brothership-for-astrobox/refs/heads/main/cover.png,watchface,?????????;?????????;?????????;NintendoSwitch;?????????;???????????????;??????;??€???,n67;o65;o65m,hrsthrt74/mlrpg_brothership.json,
PRiSM+,https://raw.githubusercontent.com/hrsthrt74/prism-plus-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/prism-plus-for-astrobox/refs/heads/main/cover.png,watchface,SEGA;maimaiDX;?????? DX;??€???;???????????????,n66;n67;o66;o66nfc;o65;o65m,hrsthrt74/prism_plus.json,
World of Race,https://raw.githubusercontent.com/hrsthrt74/world-of-race-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/world-of-race-for-astrobox/refs/heads/main/cover.png,watchface,?????????;?????????;NintendoSwitch;??€???,n67;o65;o65m,hrsthrt74/world_of_race.json,
The Commander ?????????,https://raw.githubusercontent.com/hrsthrt74/the-commander-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/the-commander-for-astrobox/refs/heads/main/cover.png,watchface,????????????,n67,hrsthrt74/the_commander.json,paid
PoP???P,https://raw.githubusercontent.com/hrsthrt74/pop-star-p-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/pop-star-p-for-astrobox/refs/heads/main/cover.png,watchface,?????????;????????????;??????;??€???;???????????????,n66;n67;o66;o66nfc;o62;o62m;o63;o65;o65m,hrsthrt74/pop_star_p.json,
????€??????????,https://raw.githubusercontent.com/Eric-qiqi/Jixuanyou-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/Eric-qiqi/Jixuanyou-for-astrobox/refs/heads/main/????????????.png,watchface,"??????,????€?,??????,?????????",n66;n67;o66;o66nfc,Ericqiqi/jixuanyou.json,
??????2 ?????????,https://raw.githubusercontent.com/OnDriveLine/Recircle2_AB/refs/heads/main/icon.png,https://raw.githubusercontent.com/OnDriveLine/Recircle2_AB/refs/heads/main/cover.png,watchface,??????;???????????????;????????????,n66;o66;o66nfc,xinghengCN/recircle2.json,paid
?€???????????€???????????????? ?????????,https://raw.githubusercontent.com/sf-yuzifu/Monika/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/Monika/refs/heads/main/preview.png,watchface,??????;?????????;???????????????;?????????;ddlc;DDLC;Doki Doki Literature Club;???????????????;?????????;???????????????;Monika;monika,n66;n67;o66;o66nfc,sf_yuzifu/monika_watchface.json,
????????????,https://raw.githubusercontent.com/Azumachiaki/block_life/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/block_life/refs/heads/main/cover.png,quickapp,??????;??€?????????;????????????,n67;n66;o66;o66nfc,AzumaChiaki/block_life.json,force_paid
??????,https://raw.githubusercontent.com/Azumachiaki/Fading_Star/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/Fading_Star/refs/heads/main/cover.png,quickapp,??????;?????????;????????????,n67;n66;o66;o66nfc,AzumaChiaki/Fading_Star.json,force_paid
???????????????Pro,https://raw.githubusercontent.com/Dreamqiucn/Furina_of_band_PRO/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/Furina_of_band_PRO/refs/heads/main/preview1.png,quickapp,??????;??????;??????;??????;??????,n66;n67;o66nfc;o66;o65;o65m,Dreamqiu/furina_of_band.json,force_paid
????????????,https://raw.githubusercontent.com/Dreamqiucn/feelingdiary-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/feelingdiary-Astrobox/refs/heads/main/preview1.png,quickapp,????????????;??????;??????;??????,n67,Dreamqiu/feelingdiary.json,
???????????????,https://raw.githubusercontent.com/Dreamqiucn/poem-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/poem-Astrobox/refs/heads/main/preview1.png,quickapp,????????????;??????;??????;????????????;??????;??????,n67,Dreamqiu/poem.json,
A.Chat,https://raw.githubusercontent.com/Azumachiaki/A.Chat/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/A.Chat/refs/heads/main/cover.png,quickapp,????????????;????????????;??????,n67;n62;o62;o62m;o63;o65;o65m,AzumaChiaki/achat.json,paid
??????Dot,https://raw.githubusercontent.com/zaona/dot-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/dot-astrobox-release/refs/heads/main/preview.png,watchface,??????;??€???,o66;o66nfc,zaona/dot.json,
?????????,https://raw.githubusercontent.com/zyhsck/my_astrobox_tomatoclock/refs/heads/main/logo.png,https://raw.githubusercontent.com/zyhsck/my_astrobox_tomatoclock/refs/heads/main/cover.jpeg,quickapp,??????,o65;o65m,mizuki/tomatoclock.json,
???????????????,https://raw.githubusercontent.com/RX79XT/Multi-functional-component_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/RX79XT/Multi-functional-component_AstroBox/refs/heads/main/preview1.png,watchface,?????????;??????;??€???,o62;o62m;n66;n62s,RX79XT/Multi-functional-component.json,paid
???????????????,https://raw.githubusercontent.com/yzl3014/AstroBox_Schulte/refs/heads/main/logo.png,https://raw.githubusercontent.com/yzl3014/AstroBox_Schulte/refs/heads/main/cover.png,quickapp,??????;???????????????;?????????;Schulte Grid,n67,yzl3014/schulte_grid.json,
ATRI,https://raw.githubusercontent.com/liuyuze61/ATRI_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/ATRI_AstroBox/refs/heads/main/preview.png,quickapp,galgame,o66;n66;o66nfc;n67,liuyuze61/ATRI.json,
????????????,https://raw.githubusercontent.com/easejun/cardSimulater_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/cardSimulater_AstroBox_Release/refs/heads/main/preview.png,quickapp,??????;??????,n66;n67;o65;o65m,easejun/cardSimulater.json,force_paid
?????????,https://raw.githubusercontent.com/easejun/arcaneArray_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/arcaneArray_AstroBox_Release/refs/heads/main/preview.png,quickapp,??????;????????????,n67;o65;o65m,easejun/arcaneArray.json,force_paid
??????,https://raw.githubusercontent.com/easejun/fish_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/fish_AstroBox_Release/refs/heads/main/preview.png,quickapp,??????;??????,n67;o65;o65m,easejun/fish.json,force_paid
