name,icon,cover,restype,tags,devices,path,paid_type
MaterialFlex ?????????,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;????????????;??€???;?????????;?????????;??????,o66;o66nfc,hrsthrt74/MaterialFlex.json,paid
MaterialMania,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;????????????;??€???,o66nfc;o66,hrsthrt74/MaterialMania.json,
authRD - ?????????,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/cover.png,watchface,????????????;?????????;??????,o62;o62m,hrsthrt74/authRD_kaltsit.json,
????€???????????????????,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/preview10.png,quickapp,??????;?????????;jrpg;????????????,n67;o65;o65m;n66,liuyuze61/BraveCommand_Dungeons.json,force_paid
OMusic,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/icon.png,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/cover.png,quickapp,??????;????????????;??€???,n62;o62;o62m;o65;o65m;p65,OrPudding/omusic.json,force_paid
BandTwine,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/cover.png,quickapp,"??????;????????????,????????????,????????????;????????????",n62;n66;n67;o62;o66;o66nfc,OrPudding/bandtwine.json,
MerquryIM Dev,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/icon.png,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/cover.png,quickapp,??????;IM;QQ;??€???,o65m;o62m;o62,coratech/merquryim.json,
?????????,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/icon.png,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/preview.png,quickapp,????????????,n62;o62;o62m;o65;o65m;n66;n67,mqycn/huile8.json,
SMusic,https://raw.githubusercontent.com/SarmonFish/vela-smusic-release/main/icon.png,https://raw.githubusercontent.com/SarmonFish/vela-smusic-release/main/cover.png,quickapp,??????;????????????;??€???,n62;o62;o62m;o65;o65m;p65,SarmonFish/SMusic.json,
FlowChat,https://raw.githubusercontent.com/zaona/flow-chat-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/flow-chat-astrobox-release/refs/heads/main/preview.png,quickapp,????????????,n66;n67;o66;o66nfc;o62;o62m;o65;o65m;p65,zaona/flow-chat.json,force_paid
HyperSurf???????????????,https://raw.githubusercontent.com/AetherZeng1145/HyperSurf_Res/refs/heads/main/logo.png,https://raw.githubusercontent.com/AetherZeng1145/HyperSurf_Res/refs/heads/main/preview.png,quickapp,?????????;??????;????????????,o62;n62;o62m,AetherZeng1145/HyperSurf.json,
???????????????? ,https://raw.githubusercontent.com/midi-HL/-MyGO-/refs/heads/main/icon.jpg,https://raw.githubusercontent.com/midi-HL/-MyGO-/refs/heads/main/xmbnad9.png,watchface,????,M2345B1,Hlchenxing/MyGO!!!!!.json,
